"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
3.084816270E-1,2.873041928E-1,4.501099288E-1,9.701305389E0,9.715990372E0
3.124788590E-1,2.298433632E-1,4.501099288E-1,9.777919769E0,9.790972471E0
3.164757060E-1,1.436520964E-1,3.926490843E-1,9.902418137E0,9.911240799E0
3.204745530E-1,2.489969730E-1,3.543418646E-1,9.921571732E0,9.931019246E0
3.244738620E-1,2.298433632E-1,3.064578176E-1,9.787496567E0,9.794990220E0
3.284720940E-1,2.489969730E-1,3.734954596E-1,9.710882187E0,9.721251524E0
3.324680950E-1,1.436520964E-1,3.639186621E-1,9.806650162E0,9.814451595E0
3.364668650E-1,1.532289088E-1,4.118026793E-1,9.844957352E0,9.854757521E0
3.404649430E-1,2.106897533E-1,3.926490843E-1,9.835380554E0,9.845469726E0
3.444624830E-1,2.394201756E-1,4.022258818E-1,9.816226959E0,9.827381106E0
3.484588680E-1,8.619125932E-2,4.213795066E-1,9.797073364E0,9.806509885E0
3.524554850E-1,1.532289088E-1,3.926490843E-1,9.883264542E0,9.892247995E0
3.564852550E-1,1.723825186E-1,3.734954596E-1,9.806650162E0,9.815273913E0
3.604831020E-1,1.436520964E-1,3.830722570E-1,9.758766174E0,9.767338303E0
3.644821800E-1,1.436520964E-1,3.639186621E-1,9.777919769E0,9.785744107E0
3.684775660E-1,1.628057212E-1,4.309563041E-1,9.825803757E0,9.836597405E0
3.724764130E-1,1.532289088E-1,3.734954596E-1,9.797073364E0,9.805387522E0
3.764735680E-1,1.628057212E-1,4.405331016E-1,9.816226959E0,9.827455766E0
3.804721070E-1,1.915361285E-1,4.692635238E-1,9.835380554E0,9.848431600E0
3.844705700E-1,1.149216816E-1,3.830722570E-1,9.777919769E0,9.786095563E0
3.884671090E-1,7.661445439E-2,3.734954596E-1,9.758766174E0,9.766211439E0
3.924640330E-1,1.628057212E-1,4.501099288E-1,9.797073364E0,9.808758900E0
3.964624960E-1,9.576806426E-2,3.830722570E-1,9.806650162E0,9.814596440E0
4.004609580E-1,1.436520964E-1,4.405331016E-1,9.806650162E0,9.817590984E0
4.044594210E-1,1.723825186E-1,4.596867263E-1,9.787496567E0,9.799801869E0
4.084557290E-1,1.532289088E-1,4.309563041E-1,9.797073364E0,9.807744335E0
4.124840380E-1,9.576806426E-2,4.596867263E-1,9.806650162E0,9.817885251E0
4.164825780E-1,1.340752989E-1,4.501099288E-1,9.835380554E0,9.846587520E0
4.204804250E-1,1.149216816E-1,4.405331016E-1,9.787496567E0,9.798079682E0
4.244794260E-1,5.746084079E-2,4.501099288E-1,9.787496567E0,9.798009479E0
4.284761190E-1,1.436520964E-1,4.596867263E-1,9.787496567E0,9.799338593E0
4.324738890E-1,1.244984865E-1,4.692635238E-1,9.797073364E0,9.809095505E0
4.364699670E-1,1.149216816E-1,4.309563041E-1,9.787496567E0,9.797653769E0
4.404701990E-1,1.149216816E-1,3.926490843E-1,9.739612579E0,9.748201552E0
4.444672000E-1,1.340752989E-1,4.788403511E-1,9.806650162E0,9.819249038E0
4.484643550E-1,1.532289088E-1,4.596867263E-1,9.854534149E0,9.866439798E0
4.524631250E-1,1.628057212E-1,4.022258818E-1,9.787496567E0,9.797110819E0
4.564591260E-1,1.628057212E-1,4.596867263E-1,9.739612579E0,9.751813718E0
4.604597430E-1,1.244984865E-1,4.309563041E-1,9.758766174E0,9.769070603E0
4.644569740E-1,1.053448766E-1,3.734954596E-1,9.777919769E0,9.785617580E0
4.684838220E-1,1.436520964E-1,4.596867263E-1,9.825803757E0,9.837599670E0
4.724822840E-1,1.628057212E-1,3.926490843E-1,9.768342972E0,9.777586789E0
4.764797470E-1,1.436520964E-1,4.309563041E-1,9.777919769E0,9.788466390E0
4.804779780E-1,1.149216816E-1,4.213795066E-1,9.720458984E0,9.730266725E0
